stop_id,stop_code,stop_name,stop_lat,stop_lon
810,,Balco App.,28.6299,77.3067
305,,PSRI,28.5314,77.224183
665,,Himalya App.,28.6322,77.3047
189,,Khirki Vill.,28.52995,77.21805
647,,Nidhi App.,28.6312,77.3017
104,,Hauz Rani,28.5294,77.2159
88,,Modi Hospital,28.5283,77.212
370,,Press Enclve,28.5279,77.2079
263,,Saket A Block,28.5278,77.2052
484,,Ashirwad App.,28.6347,77.3022
211,,PNB Geetanjali,28.529313,77.2013
874,,H.P. Depot,28.636183000000006,77.307233
139,,PTS,28.531233,77.196833
898,,Hasan Pur Vill.,28.6363,77.3103
362,,DDA Flat Lado Sarai,28.529833,77.19211700000002
857,,G.P. Depot,28.6409,77.3154
445,,T.B. Hospital,28.5284,77.1901
480,,Maharaj Pur,28.64195,77.31581700000002
153,,Kutub Minar,28.5264,77.1861
598,,Anand Vihar ISBT,28.645868,77.315375
72,,Mehrauli,28.52207278,77.18309669
146,,ISBT Anand Vihar,28.6483,77.3178
40,,Anand Vihar ISBT Main Road,28.64696,77.317879
430,,Mahrajpur Check Post,28.643267,77.316583
404,,Gazipur Depot,28.64175,77.31603299999998
208,,Hasan Pur Village,28.636133,77.310567
60,,Hasan Pur Depot,28.635993,77.306815
90,,Ashirvas Apartment,28.634483000000003,77.301867
41,,Chandar Vihar,28.6329,77.2992
71,,Prince Apartment,28.63095,77.3008
327,,Nidhi Apartment,28.6314,77.30199999999998
51,,Himalaya Appartment,28.6322,77.3043
123,,Balco Apartment,28.62985,77.306917
159,,Vijaya Laxmi Apartment,28.6289,77.309017
20,,Parivar Apartment,28.626417,77.3091
356,,Saraswati Kunj,28.623867,77.30148299999998
435,,Press Appartments,28.62285,77.2983
172,,Government Model School,28.621767,77.29508299999998
194,,Dharma Appartments,28.6199,77.29005
316,,Mother Dairy Xing,28.618933,77.287867
722,,Saket A,28.528,77.205
551,,Press Enclave,28.5282,77.2091
214,,Tamoor Nagar,28.5726,77.2659
533,,Khirki Village,28.530183,77.21835
248,,Bharat Nagar Crossing,28.5622,77.2723
242,,Holy Family Hospital,28.5604,77.273
289,,Sukh Dev Vihar,28.5586,77.273
791,,Sheikh Sarai PH-II,28.533689000000006,77.232139
157,,Nehru Place Terminal,28.547317,77.25403299999998
607,,Nehru Place Terminal,28.548617,77.2567
82,,Pumpose Enclave,28.5435,77.2441
433,,Masjid Moth,28.54045,77.235833
341,,Sheikh Sarai PH-II,28.533689000000006,77.232139
744,,Sukh Dev Vihar,28.558983,77.273067
112,,Sheikh Sarai More,28.5328,77.2306
695,,Holy Family Hospital,28.5608,77.2727
703,,Bharat Nagar Crossing,28.5619,77.2723
80,,Khirki Village,28.52995,77.21805
99,,Press Enclave,28.5279,77.2079
767,,Mother Dairy Xing,28.619333,77.288317
644,,Dharma Appartments,28.620183,77.2903
623,,Government Model School,28.621733000000006,77.294533
886,,Press Appartments,28.623,77.2983
808,,Saraswati Kunj,28.6239,77.3012
473,,Parivar Apartment,28.62675,77.30935
608,,Vijaya Laxmi Apartment,28.6288,77.3089
574,,Balco Apartment,28.6299,77.3067
505,,Himalaya Appartment,28.6322,77.3047
779,,Nidhi Apartment,28.6312,77.3017
687,,Mandawali Government School,28.6317,77.2979
495,,Chandar Vihar,28.633000000000006,77.29899999999998
542,,Ashirvas Apartment,28.6347,77.3022
514,,Hasan Pur Depot,28.636183000000006,77.307233
658,,Hasan Pur Village,28.6363,77.3103
855,,Gazipur Depot,28.64195,77.31581700000002
596,,ISBT Anand Vihar,28.645868,77.315375
221,,Aanand Vihar ISBT,28.6483,77.3178
873,,Kapashera Border,28.5217,77.08211700000003
26,,Maharaj Pur,28.643267,77.316583
825,,Kapashera Village,28.524517,77.0837
451,,Gazi Pur Depot,28.64175,77.31603299999998
849,,Kapashera Xing,28.5313,77.08815
86,,Gazi Pur Village,28.6321,77.3161
578,,Samalka Village,28.534317,77.090233
114,,National Highway X,28.626833,77.316633
63,,Khichri Pur,28.624633000000006,77.3095
329,,Vinod Nagar,28.6227,77.3039
488,,Rang Puri,28.542533,77.117633
436,,Sanjay Jheel Triolk Puri,28.6198,77.295283
721,,Mahipal Pur,28.5468,77.1237
249,,Sams Pur Jangid (Noida Xing),28.615767,77.28546700000003
529,,N.H-8 Xing,28.566633000000003,77.13395
156,,Pusta Xing,28.6124,77.2823
776,,APS colony,28.579967,77.144817
151,,Games Vill.,28.606154,77.274967
702,,Air Forsce HQ,28.584133,77.146033
816,,RR Hospital,28.590067,77.155817
143,,S.K.Khan ISBT,28.588832,77.25879599999998
401,,Bala Shahib Gurudwara,28.5821,77.26555
850,,Saya Niketan,28.588045500000003,77.1704594
646,,Nanak Pura,28.584567,77.17276700000002
258,,Nehru Nagar,28.568283,77.253917
